CMDLINE C:\ProgramData\Miniconda3\python.exe camera.py
MEM 758.761719 1628790194.7934
MEM 758.761719 1628790194.8935
MEM 758.761719 1628790194.9954
MEM 758.761719 1628790195.0955
MEM 758.761719 1628790195.1974
MEM 758.761719 1628790195.2994
MEM 758.761719 1628790195.4014
MEM 758.761719 1628790195.5014
MEM 758.761719 1628790195.6014
MEM 758.761719 1628790195.7035
MEM 758.761719 1628790195.8045
MEM 758.761719 1628790195.9065
MEM 758.761719 1628790196.0079
MEM 758.761719 1628790196.1099
MEM 758.781250 1628790196.2099
MEM 758.781250 1628790196.3119
MEM 758.785156 1628790196.4119
MEM 758.785156 1628790196.5139
MEM 758.785156 1628790196.6139
MEM 758.785156 1628790196.7159
MEM 758.785156 1628790196.8159
MEM 758.785156 1628790196.9159
MEM 758.785156 1628790197.0159
MEM 758.785156 1628790197.1179
MEM 758.785156 1628790197.2187
MEM 758.785156 1628790197.3187
MEM 758.785156 1628790197.4200
MEM 758.839844 1628790197.5200
MEM 758.839844 1628790197.6200
MEM 758.839844 1628790197.7220
MEM 758.839844 1628790197.8220
MEM 758.839844 1628790197.9220
MEM 758.839844 1628790198.0220
MEM 758.839844 1628790198.1240
MEM 758.839844 1628790198.2260
MEM 758.839844 1628790198.3280
MEM 758.839844 1628790198.4286
MEM 758.839844 1628790198.5286
MEM 758.839844 1628790198.6300
MEM 758.839844 1628790198.7320
MEM 758.839844 1628790198.8320
MEM 758.839844 1628790198.9320
MEM 758.839844 1628790199.0320
MEM 758.839844 1628790199.1320
MEM 758.839844 1628790199.2340
MEM 758.832031 1628790199.3340
MEM 758.832031 1628790199.4340
MEM 758.832031 1628790199.5360
MEM 758.832031 1628790199.6380
MEM 758.832031 1628790199.7400
MEM 758.832031 1628790199.8400
MEM 758.832031 1628790199.9412
MEM 758.832031 1628790200.0426
MEM 758.832031 1628790200.1426
MEM 758.847656 1628790200.2426
MEM 758.847656 1628790200.3446
MEM 758.847656 1628790200.4461
MEM 758.847656 1628790200.5461
MEM 758.847656 1628790200.6481
MEM 758.847656 1628790200.7481
MEM 758.847656 1628790200.8501
MEM 758.847656 1628790200.9501
MEM 758.847656 1628790201.0521
MEM 758.847656 1628790201.1521
MEM 758.847656 1628790201.2525
MEM 758.847656 1628790201.3530
MEM 758.847656 1628790201.4544
MEM 758.847656 1628790201.5564
MEM 758.847656 1628790201.6584
MEM 758.847656 1628790201.7584
MEM 758.851562 1628790201.8590
MEM 758.855469 1628790201.9609
MEM 758.855469 1628790202.0623
MEM 758.855469 1628790202.1623
MEM 758.855469 1628790202.2623
MEM 758.855469 1628790202.3643
MEM 758.855469 1628790202.4643
MEM 758.855469 1628790202.5663
MEM 758.855469 1628790202.6670
MEM 758.855469 1628790202.7684
MEM 758.855469 1628790202.8684
MEM 758.859375 1628790202.9684
MEM 758.859375 1628790203.0704
MEM 758.859375 1628790203.1724
MEM 758.859375 1628790203.2744
MEM 758.859375 1628790203.3744
MEM 758.859375 1628790203.4760
MEM 758.859375 1628790203.5761
MEM 758.859375 1628790203.6775
MEM 758.859375 1628790203.7795
MEM 758.859375 1628790203.8795
MEM 758.859375 1628790203.9799
MEM 758.859375 1628790204.0803
MEM 758.859375 1628790204.1816
MEM 758.859375 1628790204.2836
MEM 758.859375 1628790204.3856
MEM 758.859375 1628790204.4856
MEM 758.859375 1628790204.5856
MEM 758.859375 1628790204.6876
MEM 758.859375 1628790204.7896
MEM 758.859375 1628790204.8916
MEM 758.859375 1628790204.9936
MEM 758.859375 1628790205.0936
MEM 758.859375 1628790205.1936
MEM 758.910156 1628790205.2956
MEM 758.910156 1628790205.3965
MEM 758.910156 1628790205.4978
MEM 758.910156 1628790205.5998
MEM 758.910156 1628790205.6998
MEM 758.910156 1628790205.8009
MEM 758.910156 1628790205.9014
MEM 758.910156 1628790206.0028
MEM 758.910156 1628790206.1048
MEM 758.910156 1628790206.2048
MEM 759.031250 1628790206.3068
MEM 759.031250 1628790206.4068
MEM 759.031250 1628790206.5068
MEM 759.031250 1628790206.6088
MEM 759.031250 1628790206.7096
MEM 759.031250 1628790206.8097
MEM 759.031250 1628790206.9110
MEM 759.164062 1628790207.0120
MEM 759.234375 1628790207.1133
MEM 759.234375 1628790207.2133
MEM 759.234375 1628790207.3133
MEM 759.234375 1628790207.4153
MEM 759.234375 1628790207.5154
MEM 759.234375 1628790207.6176
MEM 759.234375 1628790207.7193
MEM 759.234375 1628790207.8206
MEM 759.234375 1628790207.9206
MEM 759.234375 1628790208.0226
MEM 759.234375 1628790208.1232
MEM 759.234375 1628790208.2254
MEM 759.234375 1628790208.3261
MEM 759.234375 1628790208.4273
MEM 759.234375 1628790208.5273
MEM 759.234375 1628790208.6273
MEM 759.234375 1628790208.7273
MEM 759.234375 1628790208.8293
MEM 759.234375 1628790208.9313
MEM 759.234375 1628790209.0333
MEM 759.234375 1628790209.1333
MEM 759.234375 1628790209.2333
MEM 759.234375 1628790209.3346
MEM 759.234375 1628790209.4347
